Created,Product_ID,Source,Sales_Agent,Location,Delivery_Mode,Status
14-11-2018 10:05,18,Website,Sales-Agent-11,Other Locations,Mode-5,Open
14-11-2018 09:22,15,Website,Sales-Agent-10,Bangalore,Mode-5,Open
14-11-2018 09:21,15,Website,Sales-Agent-10,Bangalore,Mode-5,Open
14-11-2018 08:46,15,Website,Sales-Agent-10,Bangalore,Mode-5,Open
14-11-2018 07:34,15,Website,Sales-Agent-10,Bangalore,Mode-5,Open
14-11-2018 07:33,15,Website,Sales-Agent-10,Bangalore,Mode-5,Open
14-11-2018 05:58,15,Website,Sales-Agent-10,Bangalore,Mode-5,Open
14-11-2018 05:49,15,Website,Sales-Agent-10,Bangalore,Mode-5,Open
14-11-2018 05:40,15,Website,Sales-Agent-10,Bangalore,Mode-5,Open
14-11-2018 05:06,15,Website,Sales-Agent-10,Bangalore,Mode-5,Open
14-11-2018 05:03,15,Website,Sales-Agent-10,Bangalore,Mode-5,Open
14-11-2018 04:52,15,Website,Sales-Agent-10,Bangalore,Mode-5,Open
14-11-2018 02:37,15,Website,Sales-Agent-10,Bangalore,Mode-5,Open
13-11-2018 23:40,15,Website,Sales-Agent-10,Bangalore,Mode-5,Open
13-11-2018 21:14,15,Website,Sales-Agent-10,Bangalore,Mode-5,Open
13-11-2018 20:45,15,Website,Sales-Agent-10,Bangalore,Mode-5,Open
13-11-2018 20:15,15,Website,Sales-Agent-10,Bangalore,Mode-5,Open
13-11-2018 20:14,15,Website,Sales-Agent-10,Bangalore,Mode-5,Open
13-11-2018 18:51,9,Live Chat-Google Organic,Sales-Agent-3,Bangalore,Mode-1,Potential
13-11-2018 18:48,19,Call,Sales-Agent-4,Other Locations,Mode-5,Potential
13-11-2018 18:41,15,Website,Sales-Agent-10,Bangalore,Mode-5,Open
13-11-2018 18:25,15,Website,Sales-Agent-10,Bangalore,Mode-5,Open
13-11-2018 18:03,15,Website,Sales-Agent-10,Bangalore,Mode-5,Open
13-11-2018 17:25,5,Call,Sales-Agent-9,UAE,Mode-3,In Progress Positive
13-11-2018 17:09,18,Website,Sales-Agent-11,Trivandrum,Mode-1,Potential
13-11-2018 16:49,15,Website,Sales-Agent-7,Hyderabad,Mode-1,Not Responding
13-11-2018 16:37,18,Call,Sales-Agent-7,Bangalore,Mode-1,In Progress Positive
13-11-2018 16:35,18,Live Chat-Direct,Sales-Agent-9,Other Locations,Mode-3,Not Responding
13-11-2018 16:09,27,Call,Sales-Agent-11,Chennai,Mode-5,In Progress Positive
